id,question,answer
580,"I was just wondering if we can use modulo without writing a function for it because from my understanding C supports it as a basic operator like + or - that can be used without calling a function.","Yes"
573,"What should recpow return for 0^0? Or is this not tested?","I think the output should be 1. Yes, and you can think of this generally as falling under the special ""zero"" case group for exponent = 0, which you can again handle with a general rule."
436,"I am a bit confused on the ""new late policy."" Are we still able to submit up to 2 days after the initial deadline for no penalty? Or do need a valid excuse to submit past Monday at 11pm?","The new late policy allows you to still submit past the 2 days of the initial deadline without help from the TAs. After that late deadline, you need a valid reason for late submission."
582,"Are we allowed to use sqrt from the math library for one of the codes? If so, it seems to create an error saying ""undefined reference to sqrt""","no"
579,"For Fibonacci Array, should we assume that the num will always be less than or equal to the length of the array, or do we have to account for the fact that we may be asked to enter more Fibonacci numbers that we can fit?","You don't have to worry about dynamic memory allocation."
613,"do you get extra credit if you do all six functions instead of the 5/6 functions for HW7","I don't think so"
611,"Hi, I cannot find my file in the .chat directory according to the lab webpage. i.e., if I run this command I will receive cat /p/cso1/mailbox/pkv4su.chat ""no such file or directory""","That’s intentional. You will create it when you run your chat file for the first time."
610,"Are there labs every week until the end of the year? If not, how many labs are there this semester?","according to the cso schedule (https://www.cs.virginia.edu/~jh2jf/courses/cs2130/spring2023/schedule.html), there are 13 labs this semester"
607,"When I submitted by homework 7 code to gradescope my fibarray returned: ""code crashed or timed out testing fibarray"". When I test my code on my computer it gives all the correct values up until when num is equal to around 45 (i.e. the 45th number in the fibonacci sequence), then the code does not run anymore. How high of a number should our fibarray's be expected to calculate?","When it stops outputting things without exiting, I think either you have an infinite loop somewhere, or your code isn’t efficient enough to generate the next number."
605,"Could someone please explain the answers to question 4 on the Fall 2022 exam 2?","4.1: Here we're loading the address stored in rbp - 0x8 into rdi. rbp is 0x79fff0, subtracting 8 from that gives us 0x779ffe8 - that should be the new value of rdi. 4.2: Here we're moving values from memory at 4 + rsp into ebx. Note that this uses movl, not movq so we're moving 4 bytes. Thus we go to 0x79ffe4 in memory and load 4 values into ebx - since memory is little-endian our end result is 0xab42ef8a. 4.3: Recall that pushq updates the stack pointer - which is rsp. The stack grows down so we subract from the stack pointer - since this is pushq we subtract 8 bytes. Thus rsp should be 0x79ffd8. 4.4: This is just a comparison, it does not update any program registers. It does updates the special flags but this question specifies program registers so the answer is none. 4.5: Here with a subl we subtract 4 bytes of rdx from rax. This ignores the 9th bit 1 in rax and zeros it out, so we just have 0x40 - 0x8 = 0x38. That is our new rax/eax value. 4.6: Recall that retq pops from the stack to get our return address which updates the stack pointer (rsp). Since this is retq we pop 8 bytes and update the stack pointer by adding 8. Thus rsp is now 0x79ffe8."
587,"HW7 says ""No function you write in this file should invoke a function you did not write."" Does this mean we can't use functions like strlen from standard libraries like string.h?","Yes, and you are also permitted to use the function mystrlen() that you implemented for Lab 9 - Char*."
586,"If I return -1 if there is no non duplicates for nondup will that pass the test cases? I saw the post about the sentinel value but am still failing a case and feel that my be the problem","Yeah if it’s undefined behavior then it doesn’t matter. It’s just convention to return -1 when something wrong happen."
583,"How do you get to the different files that Professor Hott was talking about in class? Thanks.","They are in /p/cso1/examples, so you can copy them all into your home directory with cp /p/cso1/examples/*.c ~/."
569,"Are we allowed to call the exit function in our code?","I don’t see how you would need that. Return is good enough."
565,"When I use the provided test code in my main function for the nextprime function, I get the following output: 101 103 107 109 113 127 131 137 139 149 Floating point exception Does anyone know what the last error could be? It took a while to get that error as well.","I think that's the case where you are finding the next prime after a trillion. My code was way to slow and the hw page says that they wouldn't test something that long, but perhaps your error has something to do with types. My helper function was taking in an int before and should've been taking a long."
624,"Is there any way to edit nano so that the tabsize is 4 and not 8 spaces?","Assuming your file name was example.txt nano -ET4 example.txt"
627,"I was trying to compile my code in the terminal and accidentally did rm a.out in cso1-code which deleted a.out, how can I get this back to compile my code?","You must recompile your code."
617,"What does this message in autograder mean? cp: cannot stat '/autograder/submission/homework7.c': No such file or directory","Make sure your file has the exact name ""homework7.c"". For some reason, I'm seeing that your file is named ""homework7.txt"", which would be causing that error. Hope this helps!"
608,"My titlecase function is failing on gradescope and showing ""code crashed or timed out testing titlecase"". However, when I tested it, it worked just fine. What might be causing this issue?","Be sure to implement your own function to compute a string's length and not rely on strlen() from <string.h>. Though you use strlen() properly and this code will pass tests on your machine, the autograder will not link against <string.h> at runtime and will be unable to run your titlecase() function."
598,"I pass all tests for next prime except the example from the hw, printf(""%ld\n"", nextprime(1000000000000)); , I tried to fix this by doing a for loop using 4294967295 which is the largest value an unsigned long can be in C. I also just tried making an endless loop until it finds a prime number but both of these won't work for that test and both print -727379967. Is there a better way to make it work for large numbers?","We won’t actually be testing cases where the inputs are that large. Chances are, your code is probably fine and just hitting overflow issues related to the unsigned long type’s limits, but if you submit to Gradescope and it’s still raising issues, feel free to follow up. Hope this helps!"
692,"In Lab 10 (File-Based Chat), everytime I clear my mailbox using truncate(filepath, 0), I receive a segmentation fault everytime I run the program a second time. Is there any way to fix that?","I navigated a similar issue by checking if my file pointer was null before doing anything with the file like reading, closing, or truncating. Hope this helps."
690,"My lab was working before, and then I made a change, and now all I get are ""Segmentation fault"". I don't remember what I changed because I made so many commits right after to try and fix the issue. I checked my pointers and semicolons, and everything seems good so far, but I don't know what is wrong","Also, be sure to compile with the address sanitizer and with -g to allow detection of segmentation faults and a trace to the offending line in your program: clang -g -fsanitize=address filename.c"
